id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kematian,jenis_kelamin,jumlah_kematian,satuan,tahun
76,32,JAWA BARAT,3216,KABUPATEN BEKASI,ANAK BALITA,PEREMPUAN,11,JIWA,2013
77,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAYI,LAKI-LAKI,80,JIWA,2013
78,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAYI,PEREMPUAN,69,JIWA,2013
79,32,JAWA BARAT,3271,KOTA BOGOR,ANAK BALITA,LAKI-LAKI,0,JIWA,2013
80,32,JAWA BARAT,3271,KOTA BOGOR,ANAK BALITA,PEREMPUAN,0,JIWA,2013
81,32,JAWA BARAT,3271,KOTA BOGOR,BAYI,LAKI-LAKI,28,JIWA,2013
82,32,JAWA BARAT,3271,KOTA BOGOR,BAYI,PEREMPUAN,34,JIWA,2013
83,32,JAWA BARAT,3272,KOTA SUKABUMI,ANAK BALITA,LAKI-LAKI,4,JIWA,2013
84,32,JAWA BARAT,3272,KOTA SUKABUMI,ANAK BALITA,PEREMPUAN,0,JIWA,2013
85,32,JAWA BARAT,3272,KOTA SUKABUMI,BAYI,LAKI-LAKI,39,JIWA,2013
86,32,JAWA BARAT,3272,KOTA SUKABUMI,BAYI,PEREMPUAN,21,JIWA,2013
87,32,JAWA BARAT,3274,KOTA CIREBON,ANAK BALITA,LAKI-LAKI,4,JIWA,2013
88,32,JAWA BARAT,3274,KOTA CIREBON,ANAK BALITA,PEREMPUAN,5,JIWA,2013
89,32,JAWA BARAT,3274,KOTA CIREBON,BAYI,LAKI-LAKI,24,JIWA,2013
90,32,JAWA BARAT,3274,KOTA CIREBON,BAYI,PEREMPUAN,15,JIWA,2013
91,32,JAWA BARAT,3276,KOTA DEPOK,ANAK BALITA,LAKI-LAKI,5,JIWA,2013
92,32,JAWA BARAT,3276,KOTA DEPOK,ANAK BALITA,PEREMPUAN,6,JIWA,2013
93,32,JAWA BARAT,3276,KOTA DEPOK,BAYI,LAKI-LAKI,61,JIWA,2013
94,32,JAWA BARAT,3276,KOTA DEPOK,BAYI,PEREMPUAN,52,JIWA,2013
95,32,JAWA BARAT,3277,KOTA CIMAHI,ANAK BALITA,LAKI-LAKI,1,JIWA,2013
96,32,JAWA BARAT,3277,KOTA CIMAHI,ANAK BALITA,PEREMPUAN,2,JIWA,2013
97,32,JAWA BARAT,3277,KOTA CIMAHI,BAYI,LAKI-LAKI,39,JIWA,2013
98,32,JAWA BARAT,3277,KOTA CIMAHI,BAYI,PEREMPUAN,34,JIWA,2013
99,32,JAWA BARAT,3278,KOTA TASIKMALAYA,ANAK BALITA,LAKI-LAKI,12,JIWA,2013
100,32,JAWA BARAT,3278,KOTA TASIKMALAYA,ANAK BALITA,PEREMPUAN,12,JIWA,2013
101,32,JAWA BARAT,3278,KOTA TASIKMALAYA,BAYI,LAKI-LAKI,63,JIWA,2013
102,32,JAWA BARAT,3278,KOTA TASIKMALAYA,BAYI,PEREMPUAN,33,JIWA,2013
103,32,JAWA BARAT,3279,KOTA BANJAR,ANAK BALITA,LAKI-LAKI,7,JIWA,2013
104,32,JAWA BARAT,3279,KOTA BANJAR,ANAK BALITA,PEREMPUAN,6,JIWA,2013
105,32,JAWA BARAT,3279,KOTA BANJAR,BAYI,LAKI-LAKI,29,JIWA,2013
106,32,JAWA BARAT,3279,KOTA BANJAR,BAYI,PEREMPUAN,24,JIWA,2013
107,32,JAWA BARAT,3201,KABUPATEN BOGOR,ANAK BALITA,LAKI-LAKI,15,JIWA,2014
108,32,JAWA BARAT,3201,KABUPATEN BOGOR,ANAK BALITA,PEREMPUAN,5,JIWA,2014
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,BAYI,LAKI-LAKI,115,JIWA,2014
110,32,JAWA BARAT,3201,KABUPATEN BOGOR,BAYI,PEREMPUAN,101,JIWA,2014
111,32,JAWA BARAT,3201,KABUPATEN BOGOR,NEONATAL,LAKI-LAKI,92,JIWA,2014
112,32,JAWA BARAT,3201,KABUPATEN BOGOR,NEONATAL,PEREMPUAN,88,JIWA,2014
